id_associado;nome;sobrenome;idade;email;sit_associado;sit_inadimplente;data_primeira_compra;data_ultima_compra;qt_meses_compras;data_encerramento_conta;dia_ult_compra;mes_ult_compra;vlr_total_compras;qtd_compras;vlr_medio_compras;qtd_dias_atraso_pgto
1;Alícia;Cardoso;29;alícia.cardoso@hotmail.com;Sim;Sim;2019-04-02;2022-12-19;45;"";3;0;40451,33;240;168,55;2
2;Mirella;Moura;25;mirella.moura@gmail.com;Sim;Sim;2021-04-07;2022-12-20;20;"";2;0;16968,96;116;146,28;44
3;Rodrigo;Fernandes;54;rodrigo.fernandes@terra.com.br;Sim;Não;2019-05-24;2022-12-21;43;"";1;0;76543,32;268;285,61;0
4;Rebeca;Cardoso;59;rebeca.cardoso@terra.com.br;Sim;Não;2018-10-24;2022-12-20;50;"";2;0;90421,84;321;281,69;0
5;Raul;Barros;51;raul.barros@yahoo.com.br;Sim;Não;2022-12-03;2022-12-20;0;"";2;0;1953,94;6;325,66;0
6;Julia;Nunes;38;julia.nunes@yahoo.com.br;Sim;Não;2018-05-28;2022-12-20;55;"";2;0;90487,89;336;269,31;0
7;João;Miguel;45;joão.miguel@uol.com.br;Sim;Não;2020-09-02;2022-11-23;27;"";29;0;49463,39;179;276,33;0
8;Francisco;Gomes;27;francisco.gomes@hotmail.com;Sim;Não;2019-02-27;2022-12-22;46;"";0;0;38582,42;238;162,11;0
9;Vinicius;Lima;58;vinicius.lima@hotmail.com;Sim;Não;2021-03-09;2022-12-21;21;"";1;0;38494,46;141;273,01;0
10;Cecília;Souza;40;cecília.souza@uol.com.br;Sim;Não;2022-04-14;2022-12-19;8;"";3;0;15597,90;55;283,60;0
11;Ana;Julia;57;ana.julia@yahoo.com.br;Sim;Sim;2019-10-10;2022-12-21;38;"";1;0;67663,02;232;291,65;89
12;Anthony;Neves;40;anthony.neves@yahoo.com.br;Sim;Não;2022-05-07;2022-12-19;7;"";3;0;16787,24;60;279,79;0
13;Lucas;Costa;34;lucas.costa@hotmail.com;Sim;Não;2019-02-16;2022-12-16;46;"";6;0;84485,74;293;288,35;0
14;Ana;Teixeira;66;ana.teixeira@hotmail.com;Sim;Não;2022-09-06;2022-12-08;3;"";14;0;5375,69;19;282,93;0
15;João;Lucas;70;joão.lucas@uol.com.br;Sim;Não;2022-07-25;2022-12-22;5;"";0;0;6131,21;20;306,56;0
16;Bruna;Luz;69;bruna.luz@hotmail.com;Sim;Não;2019-12-28;2022-12-15;36;"";7;0;61833,97;215;287,60;0
17;Vitor;Hugo;67;vitor.hugo@hotmail.com;Sim;Não;2022-08-02;2022-12-08;4;"";14;0;10298,72;31;332,22;0
18;Sarah;Fernandes;39;sarah.fernandes@yahoo.com.br;Sim;Sim;2018-07-13;2022-12-21;54;"";1;0;83235,98;297;280,26;12
19;Cecília;Rodrigues;75;cecília.rodrigues@hotmail.com;Sim;Não;2019-04-14;2022-12-20;44;"";2;0;77627,08;271;286,45;0
21;Benjamin;Nunes;53;benjamin.nunes@uol.com.br;Não;Não;2018-07-22;2021-12-09;41;2022-10-19;314;10;72675,56;244;297,85;0
22;Rodrigo;Sales;27;rodrigo.sales@hotmail.com;Sim;Não;2022-03-07;2022-12-14;9;"";8;0;6959,24;40;173,98;0
23;Alana;Cruz;43;alana.cruz@gmail.com;Sim;Não;2018-08-13;2022-12-21;53;"";1;0;90072,84;314;286,86;0
24;Mariane;Dias;32;mariane.dias@hotmail.com;Sim;Não;2021-04-04;2022-12-21;20;"";1;0;38244,89;143;267,45;0
25;João;Duarte;45;joão.duarte@uol.com.br;Sim;Não;2021-06-06;2022-12-20;18;"";2;0;33735,98;127;265,64;0
26;Ana;Julia;66;ana.julia@hotmail.com;Sim;Não;2021-10-25;2022-12-22;14;"";0;0;24884,21;92;270,48;0
27;Ana;Luiza;27;ana.luiza@gmail.com;Sim;Não;2022-10-28;2022-12-20;1;"";2;0;3085,48;14;220,39;0
28;Mirella;Cruz;52;mirella.cruz@yahoo.com.br;Sim;Não;2020-11-17;2022-12-12;25;"";10;0;43814,08;166;263,94;0
29;Davi;Monteiro;31;davi.monteiro@yahoo.com.br;Sim;Não;2018-07-10;2022-12-19;54;"";3;0;91408,18;322;283,88;0
30;Clara;Jesus;50;clara.jesus@hotmail.com;Sim;Não;2022-01-12;2022-12-21;11;"";1;0;21662,73;77;281,33;0
31;Ana;Julia;29;ana.julia@yahoo.com.br;Sim;Não;2018-04-05;2022-12-19;57;"";3;0;42713,67;270;158,20;0
32;Bárbara;Dias;31;bárbara.dias@hotmail.com;Não;Não;2019-09-20;2021-12-16;27;2022-10-20;308;10;54200,37;175;309,72;0
33;João;Gabriel;44;joão.gabriel@uol.com.br;Sim;Não;2020-04-26;2022-12-22;32;"";0;0;47827,99;188;254,40;0
34;Isabel;Castro;47;isabel.castro@yahoo.com.br;Sim;Não;2019-08-12;2022-12-20;40;"";2;0;78676,54;266;295,78;0
35;Henrique;Freitas;58;henrique.freitas@terra.com.br;Sim;Não;2020-06-19;2022-12-20;30;"";2;0;61175,10;217;281,91;0
36;Lavínia;Teixeira;18;lavínia.teixeira@gmail.com;Sim;Sim;2020-04-22;2022-12-03;31;"";19;0;4693,52;88;53,34;33
37;Renan;Azevedo;58;renan.azevedo@hotmail.com;Sim;Não;2019-12-15;2022-12-19;36;"";3;0;58841,63;202;291,30;0
38;Thales;Costela;41;thales.costela@hotmail.com;Sim;Não;2018-02-22;2022-12-22;58;"";0;0;110179,96;382;288,43;0
39;Mariane;Nascimento;48;mariane.nascimento@uol.com.br;Sim;Não;2021-05-04;2022-12-17;19;"";5;0;38704,83;121;319,87;0
40;Ryan;Viana;34;ryan.viana@terra.com.br;Sim;Não;2018-03-06;2022-12-10;58;"";12;0;97039,95;340;285,41;0
41;Stella;Moraes;34;stella.moraes@hotmail.com;Sim;Não;2022-05-14;2022-06-16;1;"";189;6;1594,49;6;265,75;0
42;Leonardo;Costela;26;leonardo.costela@yahoo.com.br;Sim;Não;2018-02-20;2022-12-19;58;"";3;0;50259,02;317;158,55;0
43;Yago;Cardoso;36;yago.cardoso@uol.com.br;Sim;Não;2022-07-02;2022-12-21;5;"";1;0;12674,39;40;316,86;0
44;Sabrina;Cardoso;69;sabrina.cardoso@yahoo.com.br;Sim;Não;2018-07-11;2022-12-21;54;"";1;0;98873,84;328;301,44;0
45;Isabella;Campos;27;isabella.campos@yahoo.com.br;Sim;Não;2022-09-25;2022-12-22;2;"";0;0;2142,58;14;153,04;0
46;Ana;Lívia;57;ana.lívia@gmail.com;Sim;Não;2022-01-07;2022-09-28;8;"";85;2;18271,89;63;290,03;0
47;Diogo;Cunha;70;diogo.cunha@terra.com.br;Sim;Não;2020-06-16;2022-12-22;30;"";0;0;46882,33;160;293,01;0
48;Samuel;Gonçalves;41;samuel.gonçalves@gmail.com;Sim;Não;2022-05-04;2022-12-22;7;"";0;0;12323,61;43;286,60;0
49;Caio;Costa;48;caio.costa@terra.com.br;Sim;Não;2022-07-07;2022-12-22;5;"";0;0;9699,93;38;255,26;0
50;Luiz;Gustavo;64;luiz.gustavo@gmail.com;Sim;Não;2021-09-13;2022-12-20;15;"";2;0;25548,98;90;283,88;0
51;Larissa;Rocha;66;larissa.rocha@terra.com.br;Sim;Não;2022-04-23;2022-12-22;8;"";0;0;11698,06;43;272,05;0
52;Lucca;Jesus;49;lucca.jesus@yahoo.com.br;Sim;Não;2018-01-31;2021-12-10;46;"";377;12;87914,78;312;281,78;0
53;Daniela;Correia;75;daniela.correia@terra.com.br;Sim;Não;2020-11-27;2022-01-22;14;"";334;11;24433,78;94;259,93;0
55;Kamilly;Silva;52;kamilly.silva@terra.com.br;Sim;Não;2021-04-26;2022-12-22;20;"";0;0;33460,67;111;301,45;0
56;Alice;Teixeira;47;alice.teixeira@terra.com.br;Sim;Não;2019-05-16;2022-12-22;43;"";0;0;79739,55;281;283,77;0
57;Sofia;Duarte;21;sofia.duarte@uol.com.br;Sim;Não;2021-09-15;2022-12-15;15;"";7;0;13073,45;75;174,31;0
58;Thiago;Rodrigues;37;thiago.rodrigues@gmail.com;Sim;Não;2021-02-13;2022-12-13;22;"";9;0;37877,24;128;295,92;0
59;João;Lucas;40;joão.lucas@gmail.com;Sim;Não;2022-03-13;2022-05-21;2;"";215;7;4080,78;19;214,78;0
60;Leonardo;Conceição;72;leonardo.conceição@yahoo.com.br;Sim;Não;2022-03-04;2022-12-20;9;"";2;0;19238,99;65;295,98;0
61;Pedro;Lucas;57;pedro.lucas@uol.com.br;Sim;Não;2020-03-15;2022-09-06;30;"";107;3;54820,73;192;285,52;0
62;Clarice;Nogueira;70;clarice.nogueira@yahoo.com.br;Sim;Não;2022-06-05;2022-12-04;6;"";18;0;11400,93;40;285,02;0
63;Ana;Beatriz;49;ana.beatriz@gmail.com;Sim;Não;2018-12-02;2022-12-21;49;"";1;0;77886,04;284;274,25;0
64;Raul;Rocha;71;raul.rocha@hotmail.com;Sim;Não;2022-06-16;2022-12-17;6;"";5;0;16212,03;51;317,88;0
65;Ana;Laura;30;ana.laura@uol.com.br;Não;Não;2019-01-16;2021-12-23;35;2022-11-29;341;11;66521,37;230;289,22;0
66;Alana;Cunha;34;alana.cunha@hotmail.com;Sim;Não;2021-05-06;2022-03-16;10;"";281;9;14183,45;53;267,61;0
67;Gabrielly;Ribeiro;48;gabrielly.ribeiro@terra.com.br;Sim;Não;2019-10-05;2022-12-06;38;"";16;0;59130,69;207;285,66;0
68;Srta.;Olivia;51;srta..olivia@yahoo.com.br;Sim;Não;2020-12-17;2022-02-09;13;"";316;10;22204,98;72;308,40;0
69;Carolina;Moreira;62;carolina.moreira@gmail.com;Sim;Não;2021-06-02;2022-12-22;18;"";0;0;33250,00;117;284,19;0
70;Júlia;Fernandes;19;júlia.fernandes@gmail.com;Sim;Sim;2018-02-15;2022-12-10;58;"";12;0;8504,02;159;53,48;89
71;Breno;Costela;30;breno.costela@yahoo.com.br;Sim;Não;2021-01-24;2022-12-22;23;"";0;0;38090,25;142;268,24;0
72;Vitor;Hugo;33;vitor.hugo@gmail.com;Sim;Não;2020-10-26;2022-09-21;23;"";92;3;40537,37;134;302,52;0
73;Rodrigo;Ribeiro;27;rodrigo.ribeiro@uol.com.br;Sim;Não;2018-03-22;2022-12-16;57;"";6;0;46368,07;278;166,79;0
74;Renan;Campos;57;renan.campos@yahoo.com.br;Sim;Não;2020-07-18;2022-12-21;29;"";1;0;49632,14;165;300,80;0
75;Henrique;Ribeiro;65;henrique.ribeiro@uol.com.br;Sim;Não;2021-04-13;2022-09-13;17;"";100;3;27407,07;105;261,02;0
76;Enzo;Gabriel;23;enzo.gabriel@yahoo.com.br;Sim;Não;2022-11-17;2022-12-11;0;"";11;0;1049,19;5;209,84;0
77;Olivia;Alves;31;olivia.alves@terra.com.br;Sim;Não;2019-08-02;2022-12-20;41;"";2;0;57019,80;204;279,51;0
78;Benjamin;Caldeira;21;benjamin.caldeira@uol.com.br;Sim;Sim;2018-10-14;2022-12-15;50;"";7;0;40246,11;245;164,27;67
79;Catarina;Martins;35;catarina.martins@terra.com.br;Sim;Não;2022-04-04;2022-12-18;8;"";4;0;17630,14;62;284,36;0
80;Esther;Luz;66;esther.luz@yahoo.com.br;Sim;Não;2019-02-12;2022-12-17;46;"";5;0;69878,28;260;268,76;0
82;João;Vitor;49;joão.vitor@gmail.com;Sim;Não;2021-08-03;2022-10-04;14;"";79;2;28282,56;101;280,03;0
83;Lucca;Correia;73;lucca.correia@hotmail.com;Sim;Não;2019-03-03;2022-12-19;46;"";3;0;78108,48;287;272,15;0
84;Cecília;Azevedo;61;cecília.azevedo@uol.com.br;Sim;Não;2020-05-07;2022-05-12;24;"";224;7;47536,94;179;265,57;0
85;Mariana;Nogueira;40;mariana.nogueira@uol.com.br;Sim;Não;2021-06-29;2022-12-20;17;"";2;0;33097,62;112;295,51;0
86;Yasmin;Barros;24;yasmin.barros@yahoo.com.br;Sim;Não;2022-05-17;2022-12-20;7;"";2;0;6908,93;40;172,72;0
87;Srta.;Agatha;35;srta..agatha@gmail.com;Sim;Não;2021-08-30;2022-12-10;15;"";12;0;30847,67;104;296,61;0
88;Ana;Júlia;68;ana.júlia@yahoo.com.br;Sim;Não;2020-03-24;2022-12-22;33;"";0;0;54976,59;186;295,57;0
89;Srta.;Letícia;74;srta..letícia@yahoo.com.br;Sim;Não;2020-07-08;2022-12-22;29;"";0;0;58864,90;204;288,55;0
90;Isabella;Pinto;18;isabella.pinto@uol.com.br;Sim;Sim;2020-12-02;2022-12-12;24;"";10;0;2883,33;56;51,49;89
91;Bianca;Silveira;28;bianca.silveira@hotmail.com;Sim;Não;2019-06-09;2022-12-21;43;"";1;0;31191,75;176;177,23;0
92;Stephany;Mota;34;stephany.mota@yahoo.com.br;Sim;Não;2022-08-25;2022-12-19;3;"";3;0;6606,58;25;264,26;0
93;Cecília;Silveira;23;cecília.silveira@gmail.com;Sim;Sim;2020-04-26;2022-12-12;32;"";10;0;28347,58;160;177,17;82
94;Srta.;Catarina;29;srta..catarina@gmail.com;Sim;Não;2020-04-12;2022-12-22;32;"";0;0;30365,55;173;175,52;0
95;Ana;Beatriz;38;ana.beatriz@hotmail.com;Sim;Não;2022-02-22;2022-12-20;10;"";2;0;17304,06;69;250,78;0
96;Maitê;Cavalcanti;69;maitê.cavalcanti@hotmail.com;Sim;Não;2021-04-20;2022-12-22;20;"";0;0;40772,92;146;279,27;0
97;Laís;Rocha;27;laís.rocha@yahoo.com.br;Sim;Não;2018-08-25;2022-12-17;52;"";5;0;36450,39;228;159,87;0
98;Fernanda;Monteiro;35;fernanda.monteiro@hotmail.com;Sim;Não;2018-12-03;2022-12-18;49;"";4;0;82714,76;291;284,24;0
99;Isis;Duarte;50;isis.duarte@hotmail.com;Sim;Não;2019-04-11;2022-12-22;45;"";0;0;87140,99;294;296,40;0
100;Rafael;Monteiro;68;rafael.monteiro@terra.com.br;Não;Não;2022-01-07;2022-04-27;3;2022-11-15;202;6;5094,25;22;231,56;0
101;Lorena;Gonçalves;66;lorena.gonçalves@terra.com.br;Sim;Não;2019-01-08;2022-12-12;47;"";10;0;86771,84;298;291,18;0
102;Maria;Campos;48;maria.campos@hotmail.com;Sim;Não;2022-04-14;2022-12-20;8;"";2;0;14177,38;56;253,17;0
103;Maitê;Sales;39;maitê.sales@yahoo.com.br;Sim;Não;2019-11-19;2022-04-04;28;"";262;8;50183,95;172;291,77;0
104;Thomas;Novaes;52;thomas.novaes@gmail.com;Sim;Não;2019-02-22;2022-08-26;42;"";118;3;73912,19;248;298,03;0
105;Miguel;Silveira;73;miguel.silveira@yahoo.com.br;Sim;Não;2019-11-12;2022-12-22;37;"";0;0;64810,75;225;288,05;0
106;Maria;Luiza;25;maria.luiza@hotmail.com;Sim;Não;2018-03-14;2022-12-18;58;"";4;0;47388,39;281;168,64;0
107;Emilly;Silveira;58;emilly.silveira@yahoo.com.br;Sim;Não;2019-01-12;2022-12-22;48;"";0;0;79518,23;280;283,99;0
108;Marcela;Paz;50;marcela.paz@uol.com.br;Sim;Não;2021-05-21;2022-12-20;19;"";2;0;32211,36;117;275,31;0
109;Davi;Lucca;63;davi.lucca@uol.com.br;Sim;Não;2018-11-28;2022-12-19;49;"";3;0;93859,65;319;294,23;0
110;Nathan;Mota;28;nathan.mota@hotmail.com;Não;Não;2018-05-03;2021-12-17;44;2022-11-05;323;10;45150,66;247;182,80;0
111;Luiz;Otávio;63;luiz.otávio@hotmail.com;Sim;Não;2022-06-13;2022-12-19;6;"";3;0;13837,88;44;314,50;0
112;Júlia;Freitas;29;júlia.freitas@terra.com.br;Sim;Não;2018-05-13;2022-12-22;56;"";0;0;42370,02;257;164,86;0
113;Ana;Julia;47;ana.julia@yahoo.com.br;Sim;Não;2021-11-12;2022-04-15;5;"";251;8;10603,72;36;294,55;0
114;Lorena;Sales;22;lorena.sales@hotmail.com;Sim;Sim;2018-09-04;2022-12-20;52;"";2;0;41907,44;244;171,75;10
115;Gabrielly;Neves;51;gabrielly.neves@terra.com.br;Sim;Não;2020-08-21;2022-12-20;28;"";2;0;46856,87;165;283,98;0
116;Agatha;Rodrigues;18;agatha.rodrigues@yahoo.com.br;Sim;Sim;2020-05-25;2022-12-19;31;"";3;0;4767,01;92;51,82;76
118;Pietro;Gomes;48;pietro.gomes@gmail.com;Sim;Não;2019-05-06;2022-12-15;43;"";7;0;79587,24;265;300,33;0
119;Emanuel;Neves;73;emanuel.neves@hotmail.com;Sim;Não;2022-07-15;2022-12-17;5;"";5;0;12977,25;39;332,75;0
120;Maria;Alice;55;maria.alice@terra.com.br;Sim;Não;2020-06-27;2022-12-22;30;"";0;0;50669,59;168;301,60;0
121;João;Santos;59;joão.santos@uol.com.br;Sim;Não;2022-03-03;2022-12-20;9;"";2;0;13142,48;45;292,06;0
122;Guilherme;Cavalcanti;21;guilherme.cavalcanti@yahoo.com.br;Sim;Sim;2019-01-04;2022-12-05;47;"";17;0;43887,55;251;174,85;56
123;Srta.;Agatha;30;srta..agatha@uol.com.br;Sim;Não;2020-03-10;2022-12-21;33;"";1;0;51762,01;197;262,75;0
124;Maitê;Aragão;30;maitê.aragão@terra.com.br;Sim;Não;2019-07-09;2022-12-08;41;"";14;0;68846,49;236;291,72;0
125;João;Gabriel;38;joão.gabriel@gmail.com;Sim;Não;2021-03-27;2022-12-22;21;"";0;0;30445,64;118;258,01;0
126;Srta.;Alícia;25;srta..alícia@hotmail.com;Sim;Não;2019-05-05;2022-06-27;38;"";178;5;32832,30;203;161,74;0
127;Diego;Souza;45;diego.souza@gmail.com;Sim;Não;2022-10-07;2022-12-19;2;"";3;0;5075,78;18;281,99;0
128;Carolina;Rezende;22;carolina.rezende@terra.com.br;Não;Não;2021-10-28;2021-12-11;1;2022-09-08;271;9;1232,18;6;205,36;0
129;Ryan;Campos;67;ryan.campos@hotmail.com;Sim;Não;2020-03-10;2022-12-11;33;"";11;0;57236,72;204;280,57;0
130;Benício;Correia;20;benício.correia@yahoo.com.br;Sim;Não;2019-01-26;2021-11-24;34;"";393;13;21036,79;135;155,83;0
131;Eloah;Costela;25;eloah.costela@hotmail.com;Sim;Não;2020-11-14;2022-12-21;25;"";1;0;21108,93;120;175,91;0
132;Fernando;Cunha;66;fernando.cunha@hotmail.com;Sim;Não;2021-03-03;2022-12-11;21;"";11;0;41223,79;137;300,90;0
133;Benjamin;Novaes;52;benjamin.novaes@gmail.com;Sim;Não;2018-05-22;2022-12-17;55;"";5;0;95293,31;322;295,94;0
134;João;Lucas;40;joão.lucas@yahoo.com.br;Sim;Não;2022-09-01;2022-12-21;3;"";1;0;10173,57;32;317,92;0
135;Cecília;Dias;46;cecília.dias@hotmail.com;Sim;Não;2022-03-08;2022-12-18;9;"";4;0;19715,79;67;294,27;0
136;Luiz;Miguel;45;luiz.miguel@gmail.com;Sim;Não;2020-03-18;2022-12-20;33;"";2;0;69962,82;223;313,73;0
137;Isaac;Conceição;65;isaac.conceição@yahoo.com.br;Sim;Não;2022-10-18;2022-12-03;1;"";19;0;1599,10;7;228,44;0
138;Henrique;Campos;54;henrique.campos@hotmail.com;Sim;Não;2018-04-04;2022-12-17;57;"";5;0;108985,94;390;279,45;0
139;Ana;Clara;25;ana.clara@terra.com.br;Sim;Não;2018-08-07;2022-12-20;53;"";2;0;46123,24;281;164,14;0
140;Lavínia;Monteiro;19;lavínia.monteiro@yahoo.com.br;Sim;Sim;2018-10-05;2022-12-21;51;"";1;0;7819,79;146;53,56;69
141;Srta.;Ana;31;srta..ana@hotmail.com;Sim;Não;2018-07-06;2022-12-19;54;"";3;0;94721,94;328;288,79;0
142;Pedro;Henrique;54;pedro.henrique@uol.com.br;Sim;Não;2018-02-25;2022-12-21;58;"";1;0;99380,73;354;280,74;0
143;Nicole;Mendes;47;nicole.mendes@uol.com.br;Sim;Não;2019-01-06;2022-12-18;48;"";4;0;83327,34;279;298,66;0
144;Enrico;Lima;57;enrico.lima@gmail.com;Sim;Não;2022-04-24;2022-12-21;8;"";1;0;15617,81;52;300,34;0
145;Henrique;Cunha;69;henrique.cunha@uol.com.br;Sim;Não;2018-08-26;2022-12-18;52;"";4;0;97402,93;350;278,29;0
146;Anthony;Sales;63;anthony.sales@hotmail.com;Sim;Não;2021-08-09;2022-12-19;16;"";3;0;26801,60;90;297,80;0
147;Benício;Santos;63;benício.santos@uol.com.br;Sim;Não;2019-09-25;2022-12-02;38;"";20;0;65765,22;237;277,49;0
148;Valentina;Fogaça;23;valentina.fogaça@gmail.com;Não;Sim;2018-08-15;2022-01-30;42;2022-09-05;218;7;36195,24;232;156,01;90
149;Sophia;Campos;74;sophia.campos@yahoo.com.br;Sim;Não;2022-11-19;2022-12-20;1;"";2;0;2294,89;7;327,84;0
150;Sophie;Ribeiro;71;sophie.ribeiro@yahoo.com.br;Sim;Não;2019-04-17;2022-12-20;44;"";2;0;94129,90;319;295,08;0
151;Lorenzo;Gomes;48;lorenzo.gomes@gmail.com;Sim;Não;2021-01-21;2022-12-22;23;"";0;0;40690,35;144;282,57;0
152;Gabriela;Monteiro;56;gabriela.monteiro@gmail.com;Sim;Não;2022-02-01;2022-12-10;10;"";12;0;20171,27;69;292,34;0
153;Davi;Mata;71;davi.mata@gmail.com;Sim;Não;2020-03-21;2022-04-26;25;"";240;8;40112,11;146;274,74;0
154;Thales;Barros;40;thales.barros@hotmail.com;Sim;Não;2018-04-10;2022-12-18;57;"";4;0;105514,79;370;285,18;0
155;Bárbara;Gonçalves;25;bárbara.gonçalves@yahoo.com.br;Sim;Não;2018-08-21;2022-06-01;46;"";204;6;42003,56;244;172,15;0
156;Felipe;Farias;49;felipe.farias@gmail.com;Não;Não;2018-06-29;2022-01-22;43;2022-10-17;268;8;73551,77;251;293,03;0
157;Ana;Beatriz;51;ana.beatriz@hotmail.com;Sim;Não;2019-07-21;2022-12-20;41;"";2;0;72770,80;250;291,08;0
158;Davi;Melo;21;davi.melo@hotmail.com;Sim;Sim;2018-06-10;2022-12-22;55;"";0;0;45613,81;285;160,05;64
159;Ana;Júlia;68;ana.júlia@uol.com.br;Sim;Não;2022-04-01;2022-12-21;8;"";1;0;16297,89;56;291,03;0
160;Marcelo;Costela;44;marcelo.costela@uol.com.br;Não;Não;2021-09-08;2021-11-05;1;2022-08-30;298;9;4323,06;15;288,20;0
161;Mariane;Campos;44;mariane.campos@gmail.com;Não;Não;2019-06-23;2021-11-28;29;2022-10-15;321;10;52888,30;187;282,83;0
162;Carlos;Eduardo;62;carlos.eduardo@gmail.com;Sim;Não;2020-02-18;2022-11-27;33;"";25;0;53268,88;207;257,34;0
163;João;Vitor;67;joão.vitor@terra.com.br;Sim;Não;2019-11-01;2022-12-21;38;"";1;0;65872,58;233;282,71;0
164;Thales;Rosa;53;thales.rosa@terra.com.br;Sim;Não;2019-10-18;2022-12-10;38;"";12;0;67921,23;222;305,95;0
165;Srta.;Emanuelly;38;srta..emanuelly@yahoo.com.br;Sim;Não;2019-11-04;2022-12-16;37;"";6;0;68740,75;245;280,57;0
166;Mariana;Conceição;34;mariana.conceição@terra.com.br;Sim;Não;2019-01-14;2022-11-25;47;"";27;0;80692,42;280;288,19;0
167;Luna;Moreira;71;luna.moreira@terra.com.br;Sim;Não;2021-12-09;2022-12-09;12;"";13;0;21357,02;84;254,25;0
